Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Preselect First Variation,Option Name 1,Option Value 1,Enabled CornerCAD,Current Quantity CornerCAD,New Quantity CornerCAD,Stock Alert Enabled CornerCAD,Stock Alert Count CornerCAD,Price CornerCAD,"Enabled Unique Creations by Lisa C, LLC","Current Quantity Unique Creations by Lisa C, LLC","New Quantity Unique Creations by Lisa C, LLC","Stock Alert Enabled Unique Creations by Lisa C, LLC","Stock Alert Count Unique Creations by Lisa C, LLC","Price Unique Creations by Lisa C, LLC",Modifier Set - Customize your fidget,Modifier Set - Flag Earrings,Modifier Set - Fruit Earrings,Modifier Set - Mobius Fidgets,Modifier Set - Scale Mail,Modifier Set - Select your custom colors
RXSQTS7FHOPN7XSDM2IWOPEN,Barrel Weave Bracelet,,Red/Blue,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
A342WZ2BKKQ2PXJPF3UWEITL,Barrel Weave Bracelet,,Mardi Gras,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
WTTEGKM4YDDMS46KB27CAOFU,Barrel Weave Bracelet,,Feeling Popular,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
BPYISLV4GBQVBXXKKOVASLCE,Bead Braclet,,,,colorful red and black design,,,,,,,visible,Physical good,,,,Y,,,Y,30.00,,N,,N,,N,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
23P57GLZGASCQVR6SWT4XHEC,Bead Earrings,,Regular,,"These earrings showcase an elegant design that seamlessly blends sophistication with versatility. Crafted from high-quality materials, they ensure durability and long-lasting wear. Perfect for both everyday outfits and special occasions, they add a refined touch to any ensemble.",,,,,,,visible,Physical good,,,,Y,,,Y,10.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
S5VVTMLBB5GAFO7J43AUP653,Box Weave Bracelet,,Regular,,"The is Box Weave Bracelet, handcrafted with precision, showcasing intricate Box Bead detailing. Made with high-quality materials, it offers durability and a comfortable fit. Its unique design makes it a versatile accessory for casual and formal wear.",,,,,,,visible,Physical good,,,,Y,,,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
I4XBQMX2A7A76MRHGELDVSGY,Box Weave Bracelet,,Blue/Black,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
LIKGAK366BTOD4G4BQXFDRHM,Bracelet,,Regular,,,,,,,,,visible,Physical good,,,,Y,N,Y,Y,25.00,,N,,N,,N,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
QBXHHPAOQA6ALXKINA7ZKM2G,Butterfly Earrings,,Regular,,"These butterfly earrings feature a beautiful, delicate design that captures the elegance of nature. A unique gift idea, they are crafted to complement any outfit with a touch of charm.",,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
IS4K5JCIK2LRITBIRCIDOMDM,Byzantine Capture with Glow N Dark Beads,,Custom,,,,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
T7TEWRRO5KZOMPODOPERLUTN,Byzantine Capture with Glow N Dark Beads,,"Red, White & Blue Glow",,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
WACKQX5KIYRR5NIXXESGN5K3,Byzantine Capture with Glow N Dark Beads,,Aqua/Peach Glow,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
WEKMS4TP72Y3HBMSNZ4ZRCUX,Byzantine Chainmail Bracelet,,6 inches,,"Byzantine  bracelets feature an intricate, interwoven design crafted from durable materials for long-lasting wear. With an adjustable fit, they offer both style and comfort for any occasion.

Colorful Byzantine Chainmail Bracelet created from your choice of 2 colors from anodized aluminum making it lightweight as well as beautiful!

Details
• Hypoallergenic, anodized and bright aluminum
• Will not tarnish
• Perfect for 24/7 wear
• Super lightweight yet sturdy
• Variety of sizes to fit everyone.

* For best fitting results, please measure your wrist or ankle and add 1/2"".

WHY ALUMINUM?
Aluminum is an affordable, lightweight, colorful material that will not tarnish. Aluminum does not contain nickel, which makes it an ideal choice for most people with metal allergies.",,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,Size,6 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
SI35YLIKAW4AHTDUX3FKCSPO,Byzantine Chainmail Bracelet,,6.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,6.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
BQP6QX6VEYIMUJBLP43UWFGY,Byzantine Chainmail Bracelet,,7 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,7 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
6UFI3QLBZUWTYX3PNBIARMGM,Byzantine Chainmail Bracelet,,7.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,7.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
AJ7ECHA5GQPJ6GAIXJHYN36J,Byzantine Chainmail Bracelet,,8 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,8 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
N62ZRV2OHYRYG4J3SQ4MSV7K,Byzantine Chainmail Bracelet,,8.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,8.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
EHX66347G7K5S7DU2FILWJSB,Byzantine Chainmail Bracelet,,9 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,9 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
EF4R2BMRGXJCAIIK3GCLBZBQ,Byzantine Chainmail Bracelet,,9.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,9.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
6Y7K25ALYEERZVU5KJBHRJIG,Byzantine Chainmail Bracelet,,10 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,10 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
QSQFIXQ4SRM4W7DCVVB735NM,Byzantine Chainmail Bracelet,,Snowflake,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,Snowflake,N,,,,,,Y,,,,,,N,N,N,N,N,Y
NFT6KADNL5VFXQD44OK3IADE,Byzantine Chainmail Bracelet,,Red Delight,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,Red Delight,N,,,,,,Y,,,,,,N,N,N,N,N,Y
BDONT5453KVCQBOL5RM5NWBU,Celtic Line / Helm Earrings,,Teal/Black,,"<p>Indulge in the exquisite beauty of our Celtic Line Earring, crafted with a unique design that exudes elegance and charm. Made from high-quality materials, these earrings are the perfect accessory to elevate any outfit with their versatile style. Enhance your look with a touch of Celtic-inspired sophistication today! </p><p><br/></p><p><strong>Details</strong></p><p>• Hypoallergenic, anodized and bright aluminum</p><p>• Will not tarnish</p><p>• Perfect for 24/7 wear</p><p>• Super lightweight yet sturdy</p><p>• Variety of sizes to fit everyone.</p><p><br/></p><p>* For best fitting results, please measure your wrist or ankle and add 1/2&#34;.</p><p><br/></p><p>WHY ALUMINUM?</p><p>Aluminum is an affordable, lightweight, colorful material that will not tarnish. Aluminum does not contain nickel, which makes it an ideal choice for most people with metal allergies.</p><p><br/></p><p>CARING FOR YOUR ITEM:</p><p>The easiest way to clean your chainmail item is to soak it in warm water and blue Dawn dish soap. Let it sit for a few minutes, swish it around a little and clean it with a toothbrush or soft cloth if extra detailing is needed. Pat dry with a soft cloth and should be just like new!</p>",,,,,,,visible,Physical good,,,,Y,N,Y,Y,20.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
465JVS3X7U6BA4OGEXRFWH2Q,Celtic Line / Helm Earrings,,Blue/Orange,,,,,,,,,visible,Physical good,,,,,,,,20.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
CTTUDL6AFPHCUJT3TBR7FUZ7,Celtic Line / Helm Earrings,,Green/Orange,1,,,,,,,,visible,Physical good,,,,,,,,20.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
FSLHKJBKZ4XABGER3JPRAXGT,Celtic Line / Helm Earrings,,Black/Orange,,,,,,,,,visible,Physical good,,,,,,,,20.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
GJCJ36ZR2WSW5EP2BCUAP5KY,Celtic Line / Helm Earrings,,Custom,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
QC7WF5O27XVEU52CR5ESPLOX,Celtic Star Earrings,,Custom,,,,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
GAMH6NC43MHG3GTPBXCA7RBY,Celtic Star Earrings,,Garnet/Gold,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
O7WNFN24DNIAAUPG5FABNZHK,Celtic Star Earrings,,Dark Pink/Light Pink,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
45U4SKBZ5VCJLBXJ6RP4MOF5,Chainmail Bat Necklace,,Regular,,,,,,,,,visible,Physical good,,,,Y,,,Y,5.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
43BJ4QXJGAYEBAVP7VSMEGZI,Chainmail Snake,,,,Large chainmail snake with ruby red eyes,,,,,,,visible,Physical good,,,,Y,,,Y,42.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
ONXRM53X6DIG4MO5OQPAFB7M,Children’s bracelet,,Regular,,,,,,,,,hidden,Physical good,,,,Y,,,Y,5.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
QJ376PTYAPAPRXSGPSCKRFGA,Christmas Tree Earring,,,,Get into the holiday spirit with these Christmas Tree Earrings! Their festive design and sparkling details make them the perfect accessory to elevate your holiday outfits. Add a touch of festive cheer to your look with these adorable earrings!,,,,,,,visible,Physical good,,,,Y,N,Y,Y,35.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
Y45ZE4QQXZX3AD6FP3KJVIHE,Christmas earrings,,Regular,,,,,,,,,visible,Physical good,,,,Y,,,Y,5.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
7SRHONWOFCYH2EK4CWFCEYDO,Clocks,,,,,,,,,,,visible,Physical good,,,,Y,,,Y,35.00,,N,,N,,N,N,,,Y,,,,,,N,,,,,,N,N,N,N,N,N
3EBGHVL3LW3W5ZVTVMFG2SKV,Coasters,,Regular,,,,,,,,,visible,Physical good,,,,Y,N,N,Y,24.00,,N,,N,,N,N,,,Y,,,,,,N,,,,,,N,N,N,N,N,N
LKSSYKFFMMKDTNDAZ7HW4T5Y,Cobblestone Bracelet,,Custom,,"Cobblestone seed beads feature a uniform shape and durable finish, ideal for intricate jewelry-making and beadwork projects. Their consistent size and high-quality craftsmanship ensure excellent results in every design.",,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
WSY3TAWT26JMGL4HTLFGWH22,Cobblestone Bracelet,,Orange & Blue,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
E6KDILQJHQI65FVQUDLDDS7D,Colorful Glow in the Dark Arc Pendants,,Pink & White,,Illuminate your style with our colorful glow-in-the-dark Arc Pendants! These vibrant pendants feature a unique design and come in a variety of eye-catching colors. Choose from a selection of chain lengths to personalize your look. Add a touch of magic to your outfits with these mesmerizing pendants today!,,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
6J46456V5ZJSX4JZI2GCDZVP,Colorful Glow in the Dark Arc Pendants,,Blue &Green,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
YGJTXNJPDBDX463LCCSCJRO3,Colorful Glow in the Dark Arc Pendants,,Custom,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
QCRO2DSTCYSPDVHIWDRUGWGU,Cross,,Cross Pandant,,"This cross features a versatile design crafted from durable materials, ensuring long-lasting quality. Available in stylish colors, it complements various outfits and occasions while maintaining its timeless Christian symbolism. A meaningful addition to your accessory collection or a thoughtful gift option.",,,,,,,visible,Physical good,,,,Y,,,Y,25.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
ZXPPRM2F75OB4JJ2Y77IBSK3,Cross,,Cross Necklace,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
TR5GCSA7MZOATZVLBYOIAHY2,Cross,,Cross Keychain,,,,,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
CMW3GVHCOWGZ3OCAQ34J3QPS,Cross,,Cross Clip,,,,,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
3B6F4VHMD4IGQB6BGQLEYX4F,Crystal 2 Layered Flower,,Regular,,"The Crystal 2 Layered Flower is one of a kind. It features an elegant design adorned with sparkling crystals, offering a timeless and versatile accessory for any occasion. Its intricate craftsmanship ensures a unique addition to your jewelry collection.",,,,,,,visible,Physical good,,,,Y,N,Y,Y,40.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
TQ3D7JBNWCBJCGECXNDRUTIK,Desk Clock,,,,,,,,,,,visible,Physical good,,,,Y,,,Y,44.70,,N,,N,,N,N,,,Y,,,,,,N,,,,,,N,N,N,N,N,N
PA5MMBQ7IADDPUDPVPIVJ5ZZ,Dragon Scale Earings,,Regular,,"Showcase your bold style with these Dragon Scale Earrings, featuring a unique, handcrafted design inspired by the majestic beauty of dragons. Carefully crafted with intricate detailing, they make a striking accessory for any outfit. Perfect for those who appreciate imaginative and one-of-a-kind jewelry pieces.",,,,,,,visible,Physical good,,,,Y,N,Y,N,20.00,,N,,N,,N,N,,,N,,,,,,Y,,,,,,N,N,N,N,Y,N
PUQSAS546GH4QTNE3E64HFZI,Dragon Scale Earings,,Premium Scale,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,Y,N
7FZYOYA7WRAWUFOB7H45RSNE,Dragonfly Jewelry,,Blue Spotted Wing Dragonfly Pendant,,,,,,,,,visible,Physical good,,,,Y,N,Y,Y,15.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
JWPQHE7GRX53NR7VH43M7ONF,Dragonfly Jewelry,,Purple Dragonfly Pendant,,,,,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
TLZLGD7MSVCX7UVRYPBPONVP,Dragonfly Jewelry,,Dragonfly Earrings,,,,,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
LEMVPF2DHCQIWXFZX76H77IZ,Dragonfly Pandant,,,,,,,,,,,visible,Physical good,,,,Y,,,Y,5.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
HGY3ZEBCJBF22BVDRMQZ7SWI,Earring/Neckless set,,,,,,,,,,,visible,Physical good,,,,Y,,,Y,40.00,,N,,N,,N,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
CRJEZHQDRNREOT3VSWPLZG2D,Earrings with gem bottom,,Regular,,,,,,,,,visible,Physical good,,,,Y,N,N,Y,20.00,,N,,N,,N,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
56236QAHJV2JQDIOSDE7KO55,Flag Earrings,,Regular,,"These colorful flag earrings can be created from your choice of 3 colors from anodized aluminum making it lightweight as well as beautiful!

Details
• Hypoallergenic, anodized and bright aluminum
• Will not tarnish
• Perfect for 24/7 wear
• Super lightweight yet sturdy
• Variety of sizes to fit everyone.

* For best fitting results, please measure your wrist or ankle and add 1/2"".

WHY ALUMINUM?
Aluminum is an affordable, lightweight, colorful material that will not tarnish. Aluminum does not contain nickel, which makes it an ideal choice for most people with metal allergies.

CARING FOR YOUR ITEM:
The easiest way to clean your chainmail item is to soak it in warm water and blue Dawn dish soap. Let it sit for a few minutes, swish it around a little and clean it with a toothbrush or soft cloth if extra detailing is needed. Pat dry with a soft cloth and should be just like new!",,,,,,,visible,Physical good,,,,Y,N,Y,Y,25.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
UZLHUKVSXTOKUJXJDATCGD3K,Flag Earrings,,American Flag,,,,,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
TNVLLSYGFK674DGX4JC4VG53,Flag Earrings,,Fall Fade,,,,,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
SJ5P2TV3BAMKKJ4PK7KM2GZE,Flag Earrings,,Halloween,,,,,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
ALHLDJEGC47D2QO5IDY2MMCZ,Flag Earrings,,Christmas Hoilday,,,,,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
CTU25RYLQN4SFTKV345XQRZT,Fruit Earrings,,Pumpkin Earrings,,Elevate your style with these stunning Apple Earrings that blend stylish design with high-quality materials for a luxurious look. Experience the perfect combination of comfort and fashion - grab your pair now and add a touch of elegance to your outfit!,,,,,,,visible,Physical good,,,,Y,N,Y,Y,35.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
DZOCIHTXRFIND2HEMUICK2QD,Fruit Earrings,,Apple  Earrings,,,,,,,,,visible,Physical good,,,,,,,,35.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
HCQVCXOMP5T7YCY26FVIHTJD,Fruit Earrings,,Custom,,,,,,,,,visible,Physical good,,,,,,,,35.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
M6P73JSCNRNUXMVM6NSMJ7NM,Full Persian Bracelet,,6 inches,,"Full Persian bracelets feature an intricate, interwoven design crafted from durable materials for long-lasting wear. With an adjustable fit, they offer both style and comfort for any occasion.

Colorful Full Persian Chainmail Bracelet created from your choice of 2 colors from 18 gauge anodized aluminum making it lightweight as well as beautiful!

Details
• Hypoallergenic, anodized and bright aluminum
• Will not tarnish
• Perfect for 24/7 wear
• Super lightweight yet sturdy
• Variety of sizes to fit everyone.

* For best fitting results, please measure your wrist or ankle and add 1/2"".

WHY ALUMINUM?
Aluminum is an affordable, lightweight, colorful material that will not tarnish. Aluminum does not contain nickel, which makes it an ideal choice for most people with metal allergies.",,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,Size,6 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
NTBJNP2RSLH6K6HG2RQJ7FQM,Full Persian Bracelet,,6.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,6.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
GEO2RLZLOHPVAXDER6ITSCU3,Full Persian Bracelet,,7 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,7 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
SGFTBCD6OD6MQEGY7MNZQ4XI,Full Persian Bracelet,,7.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,7.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
AK3HDHFCIITBLFT2KYBLHOOX,Full Persian Bracelet,,8 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,8 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
33H2JARA4A4E23N2ZQDFJ7L5,Full Persian Bracelet,,8.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,8.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
3L2YZYYOQIPCZH2OBJG3XUP2,Full Persian Bracelet,,9 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,9 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
27LX6F4M7NZOFB35H7IV3ILK,Full Persian Bracelet,,9.5 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,9.5 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
RLEMU4GKFNBWMTPB5ECCXJ4R,Full Persian Bracelet,,10 inches,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,10 inches,N,,,,,,Y,,,,,,N,N,N,N,N,Y
GKDYEJWIPRQCSZGC5KUKYY5Q,Full Persian Bracelet,,Mardi Gras Love,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,Mardi Gras Love,N,,,,,,Y,,,,,,N,N,N,N,N,Y
Q5U2WRBTKFTPFGS5LTYWUSZD,Full Persian Bracelet,,Feeling Peachy Blue,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,Feeling Peachy Blue,N,,,,,,Y,,,,,,N,N,N,N,N,Y
HW6WVGZR3HTZWFTHIF4FPGHN,Full Persian Bracelet,,Green/Gold,,,,,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,Size,Green/Gold,N,,,,,,Y,,,,,,N,N,N,N,N,Y
MVA27XBDSTCSTLY74ZGRKKRQ,GSG - Great Southern Gathering,,Regular,,"The GSG (Great Southern Gathering) is a premium-quality chainmaille ring style, known for its precise design and versatility in creating intricate chainmaille patterns. Ideal for crafting unique jewelry and decorative pieces.",,,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,Y,,,,,,Y,,,,,,N,N,N,N,N,Y
BKMG7BRVVSM7WLFDULW3C6XH,Gemstone Braclet,,Regular,,,,,,,,,visible,Physical good,,,,Y,,,Y,20.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
GT4DJGDGGOLFBUR6PLQS2QQJ,Gemstone Earrings,,Regular,,,,,,,,,visible,Physical good,,,,Y,,,Y,20.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
WHPGNUQSH52LH3ECR2RLBKDF,Gemstone Egg,,Small,,,,,,,,,hidden,Physical good,,,,Y,,,Y,10.00,,Y,,N,,N,Y,,,N,,,,,,Y,0,,,,,N,N,N,N,N,N
