Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Preselect First Variation,Option Name 1,Option Value 1,Enabled CornerCAD,Current Quantity CornerCAD,New Quantity CornerCAD,Stock Alert Enabled CornerCAD,Stock Alert Count CornerCAD,Price CornerCAD,"Enabled Unique Creations by Lisa C, LLC","Current Quantity Unique Creations by Lisa C, LLC","New Quantity Unique Creations by Lisa C, LLC","Stock Alert Enabled Unique Creations by Lisa C, LLC","Stock Alert Count Unique Creations by Lisa C, LLC","Price Unique Creations by Lisa C, LLC",Modifier Set - Customize your fidget,Modifier Set - Flag Earrings,Modifier Set - Fruit Earrings,Modifier Set - Mobius Fidgets,Modifier Set - Scale Mail,Modifier Set - Select your custom colors
,Card Deck Box,,Regular,CAD-BOX-0001,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Cascais Bonsai Planter,,Regular,CAD-PLA-0014,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Clarit Boxes,,Regular,CAD-BOX-0002,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Clarit Lamp,,Regular,CAD-LMP-0002,,Lamps,Lamps,,,,,visible,Physical good,,,,Y,,Y,Y,60.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Clarit Pen Holder,,Regular,CAD-ORG-0003,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Cova Coasters,,Regular,CAD-COA-0002,,Coasters,Coasters,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Crest Container,,Regular,CAD-BOX-0003,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Cuore Planter,,Regular,CAD-PLA-0015,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Cylink Vase,,Regular,CAD-VAS-0014,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Delta Planter,,Regular,CAD-PLA-0016,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Desk Clock,,Regular,CAD-CLK-0004,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Douro Drawer Module,,Regular,CAD-ORG-0004,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Drift Box,,Regular,CAD-BOX-0004,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Drift Planter,,Regular,CAD-PLA-0017,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Dusk Planter,,Regular,CAD-PLA-0018,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Echelon Planter,,Regular,CAD-PLA-0019,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Echo Orchid Planter,,Regular,CAD-PLA-0020,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Echoic Planter,,Regular,CAD-PLA-0021,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Egg Easter Decor,,Regular,CAD-DEC-0001,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Eggs Easter 2026,,Regular,CAD-DEC-0002,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Elemnt Cable Mgmt,,Regular,CAD-ORG-0005,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Ember Planter,,Regular,CAD-PLA-0022,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Facet Vase,,Regular,CAD-VAS-0015,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Faro Vase,,Regular,CAD-VAS-0016,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Flow Phone Stand,,Regular,CAD-ORG-0006,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Fluxis Watering Can,,Regular,CAD-PLA-0023,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Foral Container,,Regular,CAD-BOX-0005,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Fractal Vase,,Regular,CAD-VAS-0017,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Fusion Planter,,Regular,CAD-PLA-0024,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Gaia Pen Organiser,,Regular,CAD-ORG-0007,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Gaia Trays,,Regular,CAD-BWL-0001,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Geres Container,,Regular,CAD-BOX-0006,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Gleam Vase,,Regular,CAD-VAS-0018,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Glowtide,,Regular,CAD-DEC-0003,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Gradiz Lamp,,Regular,CAD-LMP-0003,,Lamps,Lamps,,,,,visible,Physical good,,,,Y,,Y,Y,60.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Grideo Catch All Bowl,,Regular,CAD-BWL-0002,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Grideo Pen Holder,,Regular,CAD-ORG-0008,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Guarda Vase,,Regular,CAD-VAS-0019,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Halloween Bowls,,Regular,CAD-BWL-0003,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Halo Planter,,Regular,CAD-PLA-0025,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Haven Bowl,,Regular,CAD-BWL-0004,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Havenis Planter,,Regular,CAD-PLA-0026,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Hearts Vase,,Regular,CAD-VAS-0020,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Helix Bowls,,Regular,CAD-BWL-0005,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Hive Vase,,Regular,CAD-VAS-0021,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Horizon Cake Plate,,Regular,CAD-BWL-0006,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Inflect Vase,,Regular,CAD-VAS-0022,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Influx Vase,,Regular,CAD-VAS-0023,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Inova Planter,,Regular,CAD-PLA-0027,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Irides Containers,,Regular,CAD-BOX-0007,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Juno Vase,,Regular,CAD-VAS-0024,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Kairo Planter,,Regular,CAD-PLA-0028,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Kinetic Planter,,Regular,CAD-PLA-0029,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Kintal Box,,Regular,CAD-BOX-0008,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Lagos Vase,,Regular,CAD-VAS-0025,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Leiria Planter,,Regular,CAD-PLA-0030,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Loft Planter,,Regular,CAD-PLA-0031,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Lucent Lamp,,Regular,CAD-LMP-0004,,Lamps,Lamps,,,,,visible,Physical good,,,,Y,,Y,Y,60.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Lucid Vase,,Regular,CAD-VAS-0026,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Lumen Planter,,Regular,CAD-PLA-0032,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Lumo Headphone,,Regular,CAD-ORG-0009,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Mafra Vase,,Regular,CAD-VAS-0027,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Maia Planter,,Regular,CAD-PLA-0033,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Mirage Orchid Planter,,Regular,CAD-PLA-0034,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Miro,,Regular,CAD-DEC-0004,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Monolith Photo Box,,Regular,CAD-BOX-0009,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Morph Planter,,Regular,CAD-PLA-0035,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Nexo Jewellery Box,,Regular,CAD-BOX-0010,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Nexus Watering,,Regular,CAD-PLA-0036,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Nimbus Vase,,Regular,CAD-VAS-0028,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Nisa Planter,,Regular,CAD-PLA-0037,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Nova Planter,,Regular,CAD-PLA-0038,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Oblique Planter,,Regular,CAD-PLA-0039,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Obscura Vase,,Regular,CAD-VAS-0029,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Odemira Planter,,Regular,CAD-PLA-0040,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Odemira Vase,,Regular,CAD-VAS-0030,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Orbis Canisters,,Regular,CAD-BOX-0011,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Orbs Tealight,,Regular,CAD-DEC-0005,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Ornaments Xmas 2025,,Regular,CAD-DEC-0006,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Paragon Planter,,Regular,CAD-PLA-0041,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Perpetuo Vase,,Regular,CAD-VAS-0031,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Pinn Vase,,Regular,CAD-VAS-0032,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Polygon Orchid Planter,,Regular,CAD-PLA-0042,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Polygon Planter,,Regular,CAD-PLA-0043,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Polygon Vase,,Regular,CAD-VAS-0033,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Porto Vase,,Regular,CAD-VAS-0034,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Prism Desk Organiser,,Regular,CAD-ORG-0010,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Prismal Desk E14,,Regular,CAD-LMP-0005,,Lamps,Lamps,,,,,visible,Physical good,,,,Y,,Y,Y,60.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Prismal Living Room E27,,Regular,CAD-LMP-0006,,Lamps,Lamps,,,,,visible,Physical good,,,,Y,,Y,Y,60.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Pulse Container,,Regular,CAD-BOX-0012,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Quartz Planter,,Regular,CAD-PLA-0044,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Quasar Orchid Planter,,Regular,CAD-PLA-0045,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Qube Planter,,Regular,CAD-PLA-0046,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Quell Vase,,Regular,CAD-VAS-0035,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Radiant Planter,,Regular,CAD-PLA-0047,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Radiate Vase,,Regular,CAD-VAS-0036,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Redesk Drawer,,Regular,CAD-ORG-0011,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Redesk Headphone,,Regular,CAD-ORG-0012,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Redesk Organiser,,Regular,CAD-ORG-0013,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Rift Laptop Stand,,Regular,CAD-ORG-0014,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Rift X2,,Regular,CAD-DEC-0007,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Ruck Container,,Regular,CAD-BOX-0013,,Home Decor,Home Decor,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Sagres Bonsai Planter,,Regular,CAD-PLA-0048,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Salir Planter,,Regular,CAD-PLA-0049,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Seia Planter,,Regular,CAD-PLA-0050,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Shift Planter,,Regular,CAD-PLA-0051,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Sines Lamp,,Regular,CAD-LMP-0007,,Lamps,Lamps,,,,,visible,Physical good,,,,Y,,Y,Y,60.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Sliced Planter,,Regular,CAD-PLA-0052,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Solara Vase,,Regular,CAD-VAS-0037,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Solis Planter,,Regular,CAD-PLA-0053,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Solstice Vase,,Regular,CAD-VAS-0038,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Sonar Planter,,Regular,CAD-PLA-0054,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Spectrum Planter,,Regular,CAD-PLA-0055,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
